FileName,Tag,TagName,VR,Value
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;8
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;37,5488302578769
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;40,8512160150708
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;39,2697006347907
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;9
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0001) : DVHType;CodeString;System.String;CUMULATIVE
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0002) : DoseUnits;CodeString;System.String;GY
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0004) : DoseType;CodeString;System.String;PHYSICAL
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0052) : DVHDoseScaling;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0054) : DVHVolumeUnits;CodeString;System.String;CM3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0056) : DVHNumberOfBins;IntegerString;System.Int32;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0058) : DVHData;DecimalString;System.Double;0,01
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0060) : DVHReferencedROISequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0062) : DVHROIContributionType;CodeString;System.String;INCLUDED
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3006,0084) : ReferencedROINumber;IntegerString;System.Int32;10
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0070) : DVHMinimumDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0072) : DVHMaximumDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(3004,0074) : DVHMeanDose;DecimalString;System.Double;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(300C,0002) : ReferencedRTPlanSequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1150) : ReferencedSOPClassUID;UniqueIdentifier;System.String;1.2.840.10008.5.1.4.1.1.481.5
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1155) : ReferencedSOPInstanceUID;UniqueIdentifier;System.String;1.2.246.352.71.5.336529019833.1777377.20230419131051
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(300C,0060) : ReferencedStructureSetSequence;Sequence;EvilDICOM.Core.DICOMObject;DICOM Object [Unknown] : 2 Elements
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1150) : ReferencedSOPClassUID;UniqueIdentifier;System.String;1.2.840.10008.5.1.4.1.1.481.3
